Rating,title,release_year
6.2,Before I Wake,2016
6.9,2 States,2014
6.5,Set It Up,2018
6.9,Amanda Knox,2016
6.9,Unfinished Song,2012
8.1,Udaan,2010
5.5,In the Tall Grass,2019
7.8,Monty Python Live at the Hollywood Bowl,1982
6.1,I Am Number Four,2011
6.5,A Little Chaos,2014
6.1,Lost in London,2017
5.6,Goosebumps 2: Haunted Halloween,2018
6.0,A Tale of Love and Darkness,2015
7.2,Ek Hazarachi Note,2014
5.6,The Nutcracker and the Four Realms,2018
6.9,Tokyo Idols,2017
4.8,Ein göttlicher Job,2001
6.5,A Patch of Fog,2015
6.3,Rampant,2018
7.5,Rolling Thunder Revue,2019
5.7,Earth to Echo,2014
5.6,The Package,2018
6.4,Gurgaon,2017
6.3,Anchor and Hope,2017
6.1,Solomon Kane,2009
5.8,Good Burger,1997
6.8,To the Bone,2017
6.1,Like Father,2018
6.2,The Land of Steady Habits,2018
7.1,Chronicle of an Escape,2006
6.0,Emo: The Musical,2016
5.9,American Son,2019
6.8,I Am Not Madame Bovary,2016
7.6,Kabhi Haan Kabhi Naa,1994
6.9,Susanne Bartsch: On Top,2017
5.3,A Christmas Prince: The Royal Wedding,2018
6.3,Sand Castle,2017
7.5,Clive Davis: The Soundtrack of Our Lives,2017
7.1,Gantz: O,2016
5.7,Happy Anniversary,2018
6.4,Paheli,2005
7.6,The Bleeding Edge,2018
6.0,Juanita,2019
6.9,Angry Indian Goddesses,2015
7.2,Four Sisters and a Wedding,2013
6.7,Chasing the Dragon,2017
5.5,Friday the 13th,2009
5.7,Falling Inn Love,2019
6.6,Brain on Fire,2016
5.3,A-X-L,2018
8.5,Initial D: First Stage,1998
6.0,The Polka King,2017
7.4,Jaane Tu... Ya Jaane Na,2008
6.6,The Command,2018
4.4,Daddy Issues,2018
6.5,Nobody Speak: Trials of the Free Press,2017
5.9,The Captive,2014
6.0,Super Troopers 2,2018
6.3,Take Me Home Tonight,2011
6.7,Miss Peregrine's Home for Peculiar Children,2016
7.2,What the Health,2017
8.8,Natsamrat,2016
6.0,Band of Robbers,2015
5.8,21 & Over,2013
6.1,Chennai Express,2013
5.5,Been So Long,2018
6.2,The Drug King,2018
5.6,Here Alone,2016
7.5,Reversing Roe,2018
7.3,The Edge of Democracy,2019
6.7,Cypher,2002
4.6,Death Note,2017
6.9,S Is for Stanley,2015
5.7,Come and Find Me,2016
4.4,Christmas Vacation 2000,1999
5.7,Christmas Inheritance,2017
6.2,Final Destination 2,2003
6.3,David Brent: Life on the Road,2016
6.1,The Lovers,2017
8.5,Gol Maal,1979
6.0,Planet 51,2009
6.0,The Peacemaker,1997
6.6,When the Game Stands Tall,2014
4.2,Khushi,2003
8.0,Waiting for the Hearse,1985
5.5,Below Her Mouth,2016
6.2,Inferno,2016
7.9,Struggle: The Life and Lost Art of Szukalski,2018
6.0,Sex Is Zero 2,2007
7.5,Devdas,2002
4.9,Await Further Instructions,2018
6.2,Last Knights,2015
5.8,Rowdy Rathore,2012
5.3,Siren,2016
7.3,Bleach the Movie: Hell Verse,2010
5.9,6 Balloons,2018
6.3,The Laundromat,2019
5.8,An Interview with God,2018
5.8,The Perfect Date,2019
8.3,Chupke Chupke,1975
5.5,Results,2015
5.4,Godzilla,1998
6.6,The Awakening of Motti Wolkenbruch,2018
7.0,Period: The End of Menstruation?,2006
7.2,Berlin Calling,2008
6.5,The Workshop,2017
7.1,Arthur Christmas,2011
7.5,Metallica: Some Kind of Monster,2004
6.9,Crazy Beautiful You,2015
6.0,Equals,2015
6.0,Deidra & Laney Rob a Train,2017
6.2,High Flying Bird,2019
7.0,Gabbar Is Back,2015
6.1,2Close2U,2017
6.3,Pokémon the Movie: I Choose You!,2017
5.3,Tusk,2014
5.8,Cirque du Freak: The Vampire's Assistant,2009
7.8,Lakshya,2004
8.5,Be Here Now,2015
7.1,Naruto Shippuden the Movie: Blood Prison,2011
6.9,Teefa In Trouble,2018
6.6,Naruto the Movie: Ninja Clash in the Land of Snow,2004
7.1,Restless Creature: Wendy Whelan,2016
6.0,Burning Sands,2017
6.3,The Art of the Steal,2013
6.6,Catching the Sun,2015
5.7,Little Evil,2017
5.9,Órbita 9,2017
6.7,Naruto Shippûden: The Movie,2007
5.8,The Skin of the Wolf,2017
5.8,The Bad Education Movie,2015
6.0,The Tiger Hunter,2016
7.3,Norman Lear: Just Another Version of You,2016
6.5,Chalte Chalte,2003
6.3,The Rachel Divide,2018
5.2,Superstar,1999
6.7,The B-Side,2016
5.4,Enter the Warriors Gate,2016
6.2,Roxanne Roxanne,2017
7.4,Divines,2016
6.5,The Desert Bride,2017
6.1,Cut Bank,2014
6.0,Two Lovers and a Bear,2016
6.8,Love in the Time of Hysteria,1991
6.4,The Secret Life of Pets 2,2019
6.1,My Entire High School Sinking Into the Sea,2016
7.5,Seven Sundays,2017
7.0,Unacknowledged,2017
6.1,Hostages,2017
8.0,Vizontele,2001
7.2,Habibie & Ainun 3,2019
7.4,Cunk & Other Humans on 2019,2019
6.9,The Resistance Banker,2018
5.2,The Bad Batch,2016
7.6,Madras Cafe,2013
7.2,Strictly Ballroom,1992
6.2,Closed Circuit,2013
6.2,Dark Places,2015
5.8,The Christmas Trap,2018
7.8,Laal Rang,2016
5.8,24 Hours to Live,2017
5.3,See You Yesterday,2019
7.1,The Redeemed and the Dominant: Fittest on Earth,2016
4.3,A Wrinkle in Time,2018
6.1,Otherhood,2019
6.3,Loving Annabelle,2006
6.1,Blood Will Tell,2019
6.5,My Name Is Love,2012
7.6,Wake Up Sid,2009
5.2,13 Cameras,2015
3.9,Between Worlds,2018
5.3,The 15:17 to Paris,2018
4.9,Wild Wild West,1999
5.9,Trash Fire,2016
5.4,Dream Boat,2017
5.3,The Green Inferno,2013
6.0,War Machine,2017
5.3,Legion,2010
5.6,Unicorn Store,2017
7.3,Trailer Park Boys: Countdown to Liquor Day,2009
5.6,Skiptrace,2016
6.1,Jack Reacher: Never Go Back,2016
6.9,Prescription Thugs,2015
6.0,Righteous Kill,2008
5.4,Head Count,2018
7.7,Chaar Sahibzaade,2014
5.8,Goon: Last of the Enforcers,2017
7.2,Pee Mak,2013
6.3,Mindhorn,2016
5.9,It Takes Two,1995
5.5,Mute,2018
7.4,Oklahoma City,2017
7.2,Love Likes Coincidences,2011
6.3,The Christmas Candle,2013
6.7,Belgica,2016
5.9,Igor,2008
5.4,The Trust,2016
6.5,The Incredible Jessica James,2017
6.4,Irreplaceable You,2018
6.3,Detective Dee: The Four Heavenly Kings,2018
5.7,Life After Beth,2014
7.8,The Ivory Game,2016
7.2,Memoir of a Murderer,2017
7.4,The Magician,2006
5.5,6 Years,2015
7.6,Aamir,2008
6.1,Smart People,2008
5.6,At First Light,2018
5.5,All the Boys Love Mandy Lane,2006
5.6,Imagine That,2009
5.7,The Do-Over,2016
5.9,American Hangman,2019
6.0,Semana Santa,2015
6.3,Walk With Me,2017
6.5,The Last Days of Chez Nous,1992
6.6,Hot Girls Wanted: Turned On,2017
7.3,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002
6.1,Kabali,2016
6.0,Come Sunday,2018
5.4,The Bait for the Angel,2017
5.0,Happy New Year,2014
5.2,Inconceivable,2017
0.0,St. Agatha,2014
7.0,My Little Pony: Equestria Girls - Rainbow Rocks Animated,2014
6.7,Remember Last Night?,1935
8.1,Bawarchi,1972
6.4,Message from the King,2016
6.4,Beyond the Clouds,1995
5.8,Trespass Against Us,2016
6.1,Standoff,2016
5.6,I Am Michael,2015
7.6,InuYasha the Movie 3: Swords of an Honorable Ruler,2003
6.9,Boy Erased,2018
5.5,Baptists at Our Barbecue,2004
7.4,Dream/Killer,2015
7.0,Five Deadly Venoms,1978
6.4,Manolo: The Boy Who Made Shoes for Lizards,2017
5.7,Acts of Vengeance,2017
6.2,Pokémon the Movie: The Power of Us,2018
5.8,2012,2009
5.7,El Camino Christmas,2017
6.3,Haraamkhor,2015
7.5,Miss Representation,2011
5.4,A Christmas Prince: The Royal Baby,2019
7.9,"Crouching Tiger, Hidden Dragon",2000
6.2,5 Flights Up,2014
6.3,Apostle,2018
5.4,Superlopez,2018
6.6,Umrika,2015
6.8,SHOT! The Psycho-Spiritual Mantra of Rock,2016
6.4,Naruto the Movie 2: Legend of the Stone of Gelel,2005
7.2,Inuyasha the Movie: Affections Touching Across Time,2001
7.1,Riphagen,2016
6.3,I Am Not an Easy Man,2018
5.1,The Hurricane Heist,2018
5.7,Paint It Black,2016
5.3,Duck Butter,2018
7.2,Maktub,2017
5.1,G-Force,2009
5.2,Tall Girl,2019
5.6,Immoral Tales,1973
5.4,The Tuxedo,2002
5.6,Ek Ladki Ko Dekha Toh Aisa Laga,2019
7.1,"Bleach: Fade to Black, I Call Your Name",2008
6.1,Take Me,2017
7.3,That Thing Called Tadhana,2014
7.3,Starzan II,1989
6.7,Danny Says,2015
5.5,Wine Country,2019
5.9,Office Christmas Party,2016
6.8,Nothing to Hide,2018
6.5,For Greater Glory: The True Story of Cristiada,2012
7.3,Telling Tales,2015
7.6,Tanu Weds Manu Returns,2015
7.5,Budhia Singh: Born to Run,2016
5.9,Elstree 1976,2015
6.9,And Breathe Normally,2018
5.9,The Amityville Horror,2005
8.0,A Plastic Ocean,2016
6.4,Sample This,2012
7.4,Amar Akbar Anthony,1977
7.2,Mayabazar 2016,2020
5.3,Who Would You Take to a Deserted Island?,2019
7.2,American Circumcision,2017
8.3,Punjab 1984,2014
6.6,Rare Exports,2010
7.3,Sad Hill Unearthed,2017
7.3,Only You,2014
5.1,Dilwale,2015
6.6,Jeremiah Tower: The Last Magnificent,2016
7.3,No Game No Life: Zero,2017
4.9,Silent Hill: Revelation,2012
5.7,"The Goods: Live Hard, Sell Hard",2009
7.1,Namastey London,2007
5.6,Tracers,2015
6.8,A Second Chance,2014
5.8,The New Romantic,2018
5.0,Savage Dog,2017
7.7,Don,1978
5.4,Bullet Head,2017
7.9,Mission Blue,2014
6.3,Dead in a Week Or Your Money Back,2018
7.6,Avicii: True Stories,2017
8.3,Sairat,2016
5.9,Adventures in Public School,2017
6.9,Starting Over Again,2014
8.6,The Silence of the Lambs,1991
6.4,Billu,2009
6.6,Minimalism: A Documentary About the Important Things,2015
8.4,Life in the Doghouse,2018
7.2,Seventeen,2019
6.3,Catatan Si Boy 2,1988
8.2,Dancing with the Birds,2019
6.6,The Lovers & the Despot,2016
6.2,Battle for Incheon: Operation Chromite,2016
6.3,Polar,2019
5.1,The Dukes of Hazzard,2005
6.4,Blind Detective,2013
7.3,Apex: The Story of the Hypercar,2016
7.1,Naruto Shippuden the Movie: Blood Prison,2011
6.6,Tony Robbins: I Am Not Your Guru,2016
6.4,The Invisible Guardian,2017
6.0,3 Generations,2015
5.1,Big Top Pee-wee,1988
5.3,Sinister 2,2015
5.4,Season of the Witch,2011
6.5,Chopsticks,2019
5.4,The Outcasts,2017
6.4,Luka Chuppi,2019
4.9,"Honey, I Blew Up the Kid",1992
5.5,Garden Party,2008
6.1,Good Kids,2016
6.4,The Tree of Blood,2018
5.4,"Game Over, Man!",2018
7.1,Love Per Square Foot,2018
6.3,Take Your Pills,2018
7.6,Rahasya,2015
6.9,Chup Chup Ke,2006
5.0,Chernobyl Diaries,2012
7.6,Pyaar Ka Punchnama,2011
6.5,National Treasure: Book of Secrets,2007
7.1,Ghost in the Shell: Arise - Border 2: Ghost Whispers,2013
4.3,Kyun! Ho Gaya Na...,2004
5.9,Mad Money,2008
7.5,Dhamaal,2007
7.4,Socha Na Tha,2005
5.4,Jailbreak,2017
4.9,Kickboxer: Vengeance,2016
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
8.3,Nazi Concentration Camps,1945
8.0,Patrick Melrose,2018
5.3,The Rezort,2015
5.8,The Tribe,2018
7.3,Harry Benson: Shoot First,2016
6.6,LoveTrue,2016
5.8,The After Party,2018
6.1,Moonwalkers,2015
4.6,Lupt,2018
5.9,Lila & Eve,2015
4.4,Spy Kids 3: Game Over,2003
4.9,Hard Tide,2015
7.0,Everyday I Love You,2015
4.1,The Cat in the Hat,2003
7.0,Why We Fight,1942
6.8,Arjun: The Warrior Prince,2012
5.6,A Perfect Ending,2012
5.6,Lady Bloodfight,2016
6.6,No Entry,2005
5.6,Rangoon,2017
8.4,Harishchandrachi Factory,2009
5.5,Vincent N Roxxy,2016
6.4,Big Time,2017
6.4,A Boy Called Po,2016
6.8,Shepherds and Butchers,2016
8.0,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014
6.2,Flock of Four,2017
6.6,Barcelona: A Love Untold,2016
5.8,Dare,2009
7.1,Look & See: A Portrait of Wendell Berry,2016
7.7,City of Joy,2016
7.5,The Black Godfather,2019
6.1,The Sea of Trees,2015
7.2,Inuyasha the Movie 4: Fire on the Mystic Island,2004
7.9,Angamaly Diaries,2017
6.1,Burlesque: Heart of the Glitter Tribe,2017
7.5,Stop at Nothing: The Lance Armstrong Story,2014
7.1,My Beautiful Broken Brain,2014
6.6,Asperger's Are Us,2016
5.3,Blackway,2015
5.2,Ibiza,2018
6.5,Bad Rap,2016
7.5,I See You,2017
6.1,Raja Hindustani,1996
7.0,The Art of Loving: Story of Michalina Wislocka,2017
5.2,Sandy Wexler,2017
5.6,Welcome to New York,2014
6.6,Pandora,2016
7.0,The Seven Deadly Sins: Prisoners of the Sky,2018
5.5,The Last Summer,2019
6.2,A Land Imagined,2018
7.1,Raajneeti,2010
5.2,Apollo 18,2011
0.0,Longshot... The Biopic of Senator Bernie Sanders Campaign 2016 for POTUS,2016
7.4,Once Upon a Time in Mumbaai,2010
5.0,The First Temptation of Christ,2019
7.2,The Death and Life of Marsha P. Johnson,2017
6.3,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006
6.1,Casting JonBenet,2017
8.5,Eh Janam Tumhare Lekhe,2015
7.6,The Miracle,2015
6.2,Black Snow,2017
8.5,I'll Push You: A Real-Life Inspiration,2017
7.0,Brother in Love,2019
7.1,Karthik Calling Karthik,2010
6.2,Eye for an Eye,1996
3.7,Prisoners of the Lost Universe,1983
4.9,New York Minute,2004
6.2,Dayveon,2017
5.5,Casa de mi Padre,2012
5.7,Point Blank,2019
5.2,Friend Request,2016
4.8,Two Thousand Dollars for Coyote,1966
7.2,Satte Pe Satta,1982
5.9,Opening Night,2016
7.5,Ek Hasina Thi,2004
6.7,Merantau,2009
5.8,The Duel,2016
7.3,Yuva,2004
8.5,Western Ghats,2018
7.9,Hazaaron Khwaishein Aisi,2003
5.4,Martin Lawrence Live: Runteldat,2002
5.5,Manglehorn,2014
5.5,Love Beats Rhymes,2017
5.9,American Anarchist,2016
7.1,Khalnayak,1993
5.8,Ek Main Aur Ekk Tu,2012
5.9,SGT. Will Gardner,2019
6.8,Naruto Shippûden: The Lost Tower,2010
5.3,"Living There Is Not Hell, It Is the Fire of the Desert. The Plenitude of Life That Stayed There Like a Tree",2018
6.0,Strange Weather,2016
5.3,The Most Assassinated Woman in the World,2018
5.9,The Blackcoat's Daughter,2015
5.4,After Porn Ends 3,2018
5.7,Revenger,2018
2.2,Baaghi 3,2020
6.9,Shrek the Musical,2013
7.6,When Two Worlds Collide,2016
6.2,Black Adam,2022
5.7,Delirium,2018
6.0,My Ex and Whys,2017
7.4,Me Before You,2016
6.4,The Legend of Cocaine Island,2018
6.3,Spyder,2017
5.9,Speech & Debate,2017
5.8,Railroad Tigers,2016
5.1,Blinky Bill the Movie,2015
6.5,All Is Well,2018
7.1,Beats,2019
5.6,Mohenjo Daro,2016
5.2,The Week Of,2018
7.4,U Turn,2016
6.9,The Climb,2017
7.5,Children's Party,2011
6.0,Two Lovers and a Bear,2016
5.1,Return to Sender,2015
5.8,The Man Without Gravity,2019
7.0,The African Doctor,2016
7.0,We Are Young. We Are Strong.,2014
6.1,Crank: High Voltage,2009
5.1,Sliver,1993
6.4,Sang Krasue,2019
5.6,Munafik 2,2018
3.7,The Adventures of Sharkboy and Lavagirl 3-D,2005
5.8,Eat Pray Love,2010
5.5,Step Sisters,2018
5.0,Iron Sky: The Coming Race,2019
7.6,Monty Python Live (Mostly),2014
7.4,Shelby American: The Carroll Shelby Story,2019
5.6,The Longshots,2008
5.6,Mubarakan,2017
6.5,Paskal,2018
4.6,Hannah Montana: The Movie,2009
7.5,"The Adventures of Priscilla, Queen of the Desert",1994
5.8,2012,2009
4.8,Malevolent,2018
7.7,One Day,2016
5.9,4L,2019
8.0,The Princess Bride,1987
7.5,100 Meters,2016
5.9,True Memoirs of an International Assassin,2016
7.0,Eyyvah Eyvah,2010
6.1,Phir Bhi Dil Hai Hindustani,2000
7.5,Do Dooni Chaar,2010
5.9,Kristy,2014
7.3,GLOW: The Story of the Gorgeous Ladies of Wrestling,2012
7.1,Steel Rain,2017
7.9,Laskar Pelangi,2008
5.2,Bushwick,2017
6.8,Dabbe: The Possession,2013
5.6,The Hunter's Prayer,2017
7.5,Hitler: A Career,1977
6.1,How to Get Over a Breakup,2018
6.7,"Extremely Wicked, Shockingly Evil and Vile",2019
7.7,Oye Lucky! Lucky Oye!,2008
7.2,Queen Marie of Romania,2019
6.2,Death Race 2000,1975
5.9,Illang: The Wolf Brigade,2018
5.1,How It Ends,2018
6.7,Hank: 5 Years from the Brink,2013
7.8,Star Wars: Episode VII - The Force Awakens,2015
6.7,Sarkar,2018
5.3,Social Animals,2018
4.3,Movie 43,2013
5.3,Room for Rent,2019
7.0,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire,2009
8.0,The Rolling Stones: From the Vault - Sticky Fingers Live at the Fonda Theatre 2015,2017
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
6.9,Ajji,2017
7.3,The Memphis Belle: A Story of a Flying Fortress,1944
5.2,Us and Them,2017
6.8,Vince & Kath & James,2016
5.7,Security,2017
5.5,Across the Line,2000
4.8,Dog Eat Dog,2016
6.7,Kong: Skull Island,2017
6.9,Kid Kulafu,2015
6.0,Swearnet,2014
6.0,Godzilla: Planet of the Monsters,2017
5.9,Little Boxes,2016
6.1,Dragon Tiger Gate,2006
6.2,Aarakshan,2011
6.9,Theo Who Lived,2016
5.9,The Warning,2018
5.3,The Good Catholic,2017
5.4,The Hollow Point,2016
4.7,Eerie,2018
7.0,Print the Legend,2014
5.6,Noblemen,2018
5.3,XOXO,2016
7.1,The Magic Pill,2017
5.2,Kung Fu Yoga,2017
7.4,Eddie - Strongman,2015
7.7,Mumbai Meri Jaan,2008
6.7,Zombieland: Double Tap,2019
7.6,Once Upon a Time... in Hollywood,2019
6.3,Shimmer Lake,2017
6.6,Expelled from Paradise,2014
7.2,A Leaf of Faith,2018
5.4,Lavender,2016
5.1,#Realityhigh,2017
5.3,USS Indianapolis: Men of Courage,2016
7.3,Alita: Battle Angel,2019
6.0,No Other Woman,2011
5.8,Small Crimes,2017
6.3,Alt-Right: Age of Rage,2018
6.6,16 Blocks,2006
8.2,Love Ni Bhavai,2017
7.7,Fire in the Blood,2013
6.3,Dügün Dernek 2: Sünnet,2015
5.4,Dead Kids,2019
5.7,God Bless the Broken Road,2018
7.1,Keith Richards: Under the Influence,2015
3.5,Firebird 2015 AD,1981
5.0,Bokeh,2017
5.1,Bottom of the World,2017
5.3,Paper Year,2018
5.9,Special Correspondents,2016
6.0,Love Affair,1994
4.6,Half Girlfriend,2017
6.6,Warehoused,2017
7.2,Namak Halaal,1982
6.2,Delhi-6,2009
5.6,City of Tiny Lights,2016
6.5,League of Legends Origins,2019
6.7,The Fury of a Patient Man,2016
6.2,Much Loved,2015
4.9,Hope Springs Eternal,2018
7.8,Killa,2014
4.5,Samson,2018
5.5,Miss Julie,2014
7.7,100 Years,2016
5.7,Blue Mountain State: The Rise of Thadland,2016
5.9,Ready to Mingle,2019
5.7,Rajma Chawal,2018
6.3,1 Mile to You,2017
6.7,Good Luck,2014
6.3,Dharam Sankat Mein,2015
7.2,"LSD: Love, Sex Aur Dhokha",2010
6.7,The Cake General,2018
6.9,Kingdom of Us,2017
5.4,I Am Wrath,2016
5.3,A Kind of Murder,2016
5.7,Dismissed,2017
7.2,The Perfect Dictatorship,2014
5.8,Barbie: The Princess & the Popstar,2012
6.1,Kidnapping Mr. Heineken,2015
7.5,Rudy Habibie,2016
6.7,Kaalia,1981
6.6,Brotherhood of Blades 2,2017
6.9,I Fine..Thank You Love You,2014
6.6,Eyyvah Eyvah 2,2011
6.6,Star Men,2016
6.3,Sacro GRA,2013
6.2,Holy Camp!,2017
7.4,Cunk & Other Humans on 2019,2019
7.0,Ronnie Coleman: The King,2018
3.8,Backtrace,2018
6.5,Gagarin. Pervyy v kosmose,2013
6.0,The Laws of Thermodynamics,2018
6.3,Full Out,2015
7.5,Mustafa Hakkinda Hersey,2004
5.7,Buffalo Boys,2018
4.6,I Am the Pretty Thing That Lives in the House,2016
6.8,You Carry Me,2015
6.3,Travis Scott: Look Mom I Can Fly,2019
5.4,Heavy Metal 2000,2000
5.3,Revolt,2017
4.8,The Ridiculous 6,2015
6.5,1898: Our Last Men in the Philippines,2016
8.0,Going Clear: Scientology & the Prison of Belief,2015
7.2,5 cm,2012
4.6,Half Girlfriend,2017
6.8,It Takes a Man and a Woman,2013
6.2,Rolling Papers,2015
6.5,Perfect Bid: The Contestant Who Knew Too Much,2017
6.6,Elisa & Marcela,2019
6.6,Birdshot,2016
5.4,Watchman,2019
5.3,Assimilate,2019
6.4,My Little Pony: Equestria Girls - Legend of Everfree,2016
5.8,The Tenth Man,2016
6.3,ABCD (Any Body Can Dance),2013
5.3,Postcards from London,2018
5.8,Stephanie,2017
6.1,The Girl Allergic to WiFi,2018
6.1,Cézanne et moi,2016
4.5,Bitch Slap,2009
6.8,Janaan,2016
7.7,Njan Prakashan,2018
7.1,Sour Apples,2016
6.5,Being AP,2015
5.7,A Dangerous Woman,1993
7.4,Losing Sight of Shore,2017
6.3,Svaha: The Sixth Finger,2019
6.9,The Body Remembers When the World Broke Open,2019
7.7,Brené Brown: The Call to Courage,2019
5.5,Naomi and Ely's No Kiss List,2015
5.1,Mara,2018
6.2,Naam Shabana,2017
4.9,The Vault,2017
6.0,Cold Skin,2017
7.6,The Little Mermaid,1989
7.1,Love in a Puff,2010
5.4,Naked,2017
6.4,Just Go with It,2011
5.7,Rocco,2016
5.2,Rim of the World,2019
5.9,Dabbe 5: Curse of the Jinn,2014
7.5,Franca: Chaos and Creation,2016
6.5,Paradox,2017
5.5,The Mistress of Spices,2005
4.6,Dark Crimes,2016
5.8,Godzilla: City on the Edge of Battle,2018
8.2,Sudani from Nigeria,2018
4.5,The Humanity Bureau,2017
7.1,Shootout at Lokhandwala,2007
5.2,The Adderall Diaries,2015
7.1,The Carter Effect,2017
7.3,Shanghai,2012
5.1,The D Train,2015
6.5,Murder on the Orient Express,2017
6.3,Abandoned,2015
6.7,For Here or to Go?,2015
6.5,Clair Obscur,2016
7.2,Shaitan,2011
3.4,Dauntless: The Battle of Midway,2019
5.4,After Porn Ends 3,2018
5.2,Father of the Year,2018
5.6,Bob Lazar: Area 51 & Flying Saucers,2018
5.0,First Kill,2017
7.3,Mortified Nation,2013
4.5,Skyline,2010
7.4,Tyke: Elephant Outlaw,2015
5.2,Snow Day,2000
4.3,The Bye Bye Man,2017
5.4,Ram Jaane,1995
6.8,Pyaar Ke Side Effects,2006
7.1,Invisible Essence: The Little Prince,2018
7.4,Life in a Metro,2007
7.1,Rot fai faa... Maha na ter,2009
6.4,Walk. Ride. Rodeo.,2019
7.1,Mais Forte que o Mundo: A História de José Aldo,2016
5.6,The Last Laugh,2019
6.6,You Changed My Life,2009
6.5,Like Arrows,2018
6.2,The Ruthless,2019
7.1,Tune in for Love,2019
5.1,Clinical,2017
4.9,Mercy Black,2019
7.9,I Am Kalam,2010
5.6,Skin Trade,2014
6.9,Return to the 36th Chamber,1980
2.8,Swiped,2018
5.3,Fun Mom Dinner,2017
6.6,The Music of Silence,2017
4.7,Shorts,2009
6.9,Fukrey,2013
5.8,Sr. Pig,2016
6.5,Stereo,2014
6.7,The Lighthouse of the Whales,2016
5.5,Good People,2014
7.7,The Gospel of John,2003
6.3,Bride for Rent,2014
4.7,Rattlesnake,2019
6.3,Catwalk: Tales from the Cat Show Circuit,2018
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
7.1,Ghost in the Shell: Arise - Border 1: Ghost Pain,2013
5.6,Inside Man: Most Wanted,2019
3.5,Spy Kids 4: All the Time in the World,2011
7.2,Michael Clayton,2007
5.3,Muzaffarnagar 2013,2017
6.6,Aitraaz,2004
6.5,My Little Pony: Equestria Girls - Friendship Games,2015
3.0,The Last Resort,2009
7.5,Saving Mr. Banks,2013
5.7,The Rehearsal,2016
5.7,The Holiday Calendar,2018
0.0,One Second from Eternity: The History of the Land Speed Record,1973
6.4,Bewildered Bolbol,2010
6.7,Motu Patlu: King of Kings,2016
5.1,Big Bear,2017
6.5,Hükümet Kadin,2013
5.4,Any Body Can Dance 2,2015
4.7,Hoodwinked Too! Hood vs. Evil,2011
7.9,Armed to the Teeth,2018
4.5,Secret Obsession,2019
6.8,Dying to Tell,2018
6.7,Løvekvinnen,2016
6.0,Balu Mahi,2017
6.7,After the Rain,2018
6.5,The Silence of the Sky,2016
5.5,Burning Cane,2019
6.4,Dare to Be Wild,2015
4.7,Ghost House,2017
6.1,Pokémon the Movie 2000,1999
0.0,#IrishGameDev 2014,2015
7.1,300 Miles to Heaven,1989
4.5,Sextuplets,2019
6.3,The Accident,2019
6.5,Euphoria,2018
6.1,Running for Grace,2018
4.9,Happy,2015
7.2,"Main, Meri Patni... Aur Woh!",2005
6.4,Martial Arts of Shaolin,1986
8.5,One More Shot,2018
7.5,Why Me?,2015
6.0,Incir Reçeli 2,2014
5.4,Under the Eiffel Tower,2018
6.7,Kara Bela,2015
5.9,Psychokinesis,2018
6.3,SOS: Secrets of Sex,2013
4.7,The Diabolical,2015
6.9,Kalakalappu,2012
5.6,Gnome Alone,2017
6.7,Upstarts,2019
7.9,Evangelion: 2.0 You Can (Not) Advance,2009
6.4,Rukh,2017
7.3,Sustainable,2016
7.7,Merata: How Mom Decolonized the Screen,2018
5.0,Unfreedom,2014
5.5,Flimflam,2016
6.8,Luciérnagas,2018
6.1,Los héroes del mal,2015
6.4,Secuestro,2016
7.3,A Passage to India,1984
6.2,Sardarji,2015
4.3,Cats & Dogs: The Revenge of Kitty Galore,2010
5.0,Santa Girl,2019
5.1,Jab Harry Met Sejal,2017
6.8,Rocky Handsome,2016
5.6,Ali Baba and the Seven Dwarfs,2015
5.1,Ascharyachakit!,2018
4.8,Havenhurst,2016
6.2,Burn Out,2017
5.8,Family 420 Once Again,2019
6.7,Publieke werken,2015
5.2,Dude,2018
7.6,Manu,2018
5.6,Be Somebody,2016
7.3,The Blue Umbrella,2005
6.3,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016
6.5,Vizontele Tuuba,2003
5.4,Big Kill,2019
6.3,The Journey Is the Destination,2016
6.2,Mr. Nice Guy,1997
6.1,In the Shadow of Iris,2016
5.9,The Wedding Party,2016
6.2,Alice Through the Looking Glass,2016
5.2,Tinker',2017
5.8,Kaleidoscope,2016
5.2,Hostage to the Devil,2016
6.7,Bumblebee,2018
7.3,Philips and the Monkey Pen,2013
7.6,London 2012: Games of the XXX Olympiad,2012
7.3,Girls und Panzer der Film,2015
4.5,Sex Doll,2016
5.9,The Unmarried Wife,2016
4.7,ATM,2012
5.9,Catfight,2016
6.7,Deewana,1992
6.6,Apache Warrior,2017
2.8,The App,2019
6.4,Running Shaadi,2017
7.1,Highly Strung,2015
5.7,I Hate Luv Storys,2010
6.1,Belmonte,2018
6.1,The Most Hated Woman in America,2017
5.2,The Clapper,2017
6.8,Love on Delivery,1994
